source,target,en_length,zh_length
It's the same one Dora gives us after a client goes too far.,和有过分的客户时，Dora看向我们的眼神一样。,60,23
But he retreats to his office behind the counter.,他默默退回到了收银台后面的办公室里。,49,18
"Murdoch doesn't notice, disappearing into the darkroom.",Murdoch没有察觉，就这么消失在了暗室中。,55,23
The frame of the door reminds me of the mineshaft the more and more I stare at it... and the room under the stairs is inky black.,那副门框，还有如墨一般漆黑的房间...我越是凝视，就越觉得像矿井。,129,33
I step on in and Murdoch turns on the light.,我走了进去，Murdoch打开灯。,44,17
I see the rest of the developed pictures of Jack's body hanging from the cork board.,我看到软木板上挂着已经冲洗过的Jack尸体的照片。,84,25
There's a lot more decay on the corpse than I'd thought there would be.,尸体的腐烂程度比我想得更严重。,71,15
"But that's a good thing, right?",不过这是件好事，不是吗？,31,12
I knew he had been waiting to talk about this all day.,我知道他一整天都在等着谈这件事。,54,16
"But I already regret coming back to this dark, cramped place.",而我已经后悔回到这个黑暗，狭小的地方了。,61,20
My eyes drift away from the photos of Jack.,我的视线从Jack的照片上移开。,43,16
"Murdoch leans upon a counter, staring back.",Murdoch靠着柜台，凝视了回来。,43,18
He pulls a photo sitting on the counter and pushes it into my hand.,他从柜台上抽出一张照片，推到我手里。,67,18
"I stare at it again and feel cold, like I'm back there in the deep with Jack's dead body.",我再次看向它，感到一阵冰凉，仿佛自己与Jack一同堕回了深渊。,89,31
Murdoch interrupts gently.,Murdoch轻轻插了句话。,26,14
Murdoch's hand crosses mine as he pulls the photo from my grasp.,Murdoch越过我的手，从中抽走了照片。,64,21
He rubs the side of his nose with his sleeve and looks down.,他用袖子擦了擦鼻翼，垂下了头。,60,15
No...,不...,5,4
Where is that sound coming from?,声音是从哪里来的？,32,9
"I cover my ears to stop the noise, but it doesn't work.",我捂住自己的耳朵，但喧嚣没有终止。,55,17
Tears flow from my eyes as I sink to the ground.,我沉没到了地上，泪水夺眶而出。,48,15
I'm choking in this horrible tiny room.,我身处这个可怕的小房间中，无法呼吸。,39,18
"I can't see, but somehow I know that long-limbed things surround me in this place.",我看不见，但不知怎的，我知道有修长肢体的东西围绕着我。,82,27
They smell like funeral chemicals.,它们闻起来像是葬礼用的化学品。,34,15
"They have only pulsing veins, no skin.",只有脉络，没有皮肤。,38,10
And they drip on me.,它们垂落在我身上。,20,9
Murdoch tears the photograph in half.,Murdoch把照片撕成了两半。,37,16
He tears it into quarters.,他把它撕成了四半。,26,9
I hear unintelligible squealing.,我听到难以名状的长啸。,32,11
Like all of the pictures are singing.,仿佛所有的照片都在歌唱。,37,12
Then they stop.,然后沉寂下来。,15,7
My sobbing howls fill the dark room.,我的悲嚎充满了漆黑的的房间。,36,14
Murdoch sits on the floor next to me.,Murdoch挨着我坐在旁边的地板上。,37,19
"I flinch when he touches me, but he's soft and warm, not slimy and sharp.",我因他的触碰而畏缩着，但是他很柔软，很温暖，不粘稠，也不尖锐。,73,31
"He's smaller than me, but he rocks me like I'm a baby.",他比我个头小，却把我当婴儿一样摇晃着。,54,19
I open my eyes to see if he is crying too... or if he looks scared... or disgusted...,我睁开眼，去看他是否也在哭泣...或是恐惧...或是厌恶...,85,31
But he isn't.,但是并没有。,13,6
He looks determined.,他的样子很坚定。,20,8
And I have no idea why.,我不知道为什么。,23,8
Not a damn clue why.,我一点也不知道为什么。,20,11
He looks sickened now.,现在，他像是要吐了。,22,10
He wipes my tears with his sleeve.,他用袖子为我擦拭泪水。,34,11
My jaw drops as I stare back at him.,我盯着他，合不拢嘴。,36,10
I'm mumbling.,我喃喃自语。,13,6
He puts both of his paws on mine and squeezes.,他把两只爪子放在我的上面，紧握着。,46,17
His voice is harsh.,他的声音很刺耳。,19,8
No!,不！,3,2
It doesn't!,没有！,11,3
But I nod anyway.,但我还是点了点头。,17,9
And I keep crying anyway.,我依然泪流不止。,25,8
And he doesn't stop holding me.,他依然抱着我。,31,7
Murdoch pulls away from me and crosses his arms.,Murdoch与我拉开距离，双臂抱胸。,48,19
He frowns.,他皱着眉头。,10,6
"The fox's ears flick, and his glance switches from one wall of photos to another.",那只狐狸耳朵一抖，目光从一堵照片墙切换到了另一堵。,81,25
Murdoch pushes himself up off the ground and lends me his wrist.,Murdoch从地上撑起身，并伸来一只手。,64,21
He pulls me up briskly with a strained grunt.,他不自然地闷哼一声，快速将我拉了起来。,45,19
Then he looks me over again.,然后又打量了我一番。,28,10
I avoid his gaze.,我避开了他的目光。,17,9
He tore up one of the shots himself.,他亲手撕过其中一张。,36,10
Maybe...,也许...,8,5
"Murdoch turns around and crosses his arms, as if he's actually considerin' listening to me.",Murdoch转过身来，双臂抱胸，像是真的在考虑听我的。,91,28
"He plucks the shots from the string, opens a cabinet, and pulls a manila envelope out to encase them, then tucks it beneath his arm.",他打开柜子，抽出一个马尼拉纸的信封，把从绳子上摘下来的照片装了进去，并夹在腋下。,132,40
"We walk out of the darkroom, and Murdoch locks it behind us, and we keep walking until we get to the storefront.",离开暗室后，Murdoch锁上门，我们就这样一直走到了店里。,112,30
His brow furrows.,他皱起了眉。,17,6
My heart beats faster.,我的心跳加速了。,22,8
"He puts the envelope in a small briefcase and snaps it shut, looking at me out of the corner of his eye.",他把信封装进一个小公文包里，啪的一声扣上，用眼角的余光看着我。,104,31
That's a queer thing to tell me.,真是奇怪的说法。,32,8
My gaze lingers on the briefcase.,我的目光停在了公文包上。,33,12
Murdoch's shoulders heave as he lets out a sigh.,Murdoch叹了口气，耸耸肩。,48,16
I let out a bitter laugh.,我苦笑了一声。,25,7
Murdoch's tail flicks from side to side.,Murdoch来回摆动着尾巴。,40,15
He smiles.,他微微一笑。,10,6
His smile turns into a frown.,他的微笑变成了皱眉。,29,10
His eyes narrow as he looks me over.,他眯起眼睛注视着我。,36,10
Damn it.,该死。,8,3
I'm running out of time.,没时间了。,24,5
Maybe I could grab the pictures and run.,也许我可以抢走照片，然后逃跑。,40,15
But that would just make Murdoch tell William what happened.,但这只会让Murdoch把事情的经过告诉William。,60,28
He'd be on to me.,他一定会盯上我的。,17,9
Murdoch knocks on the door of William's office.,Murdoch敲响了William办公室的门。,47,23
We don't hear anything.,我们什么也没听见。,23,9
Murdoch knocks again.,Murdoch又敲了几下。,21,13
We hear some low grumbling before the door finally opens.,在小声的抱怨后，门终于打开了。,57,15
"William looks a little more tired than usual, and he smells like booze.",William看起来比平时还要累，身上一股酒味。,71,24
William peers behind the fox and his expression softens.,William凝视着狐狸身后，表情柔和了下来。,56,23
Something peculiar happens when the briefcase passes from Murdoch's hand to William's.,公文包从Murdoch那儿传到了William手中，奇怪的感觉。,86,32
First it feels like every small mistake I had ever made in my life adds up to this moment.,一开始，我觉得自己这辈子犯下的所有错误都凝聚在了这一刻。,90,28
Each thing I did wrong is another strand making up the noose that tightens around my neck.,我做过的每件错事，犹如一根根无形的绳索，牢牢套在我的脖子上。,90,30
But then I feel lighter.,但随后，我感觉轻松了。,24,11
"Like all of the pressure is leaving me, almost as if the air were thinner.",就像是身上的压力被一扫而空，空气仿佛都轻了不少。,74,24
As if it was all out of my hands.,仿佛一切都不用在意了。,33,11
As if it really was just a pile of mundane pictures revealing nothing new or damning.,仿佛这真的只是一沓普通的照片，不会出现什么新的线索，上面也没有什么诅咒。,85,36
William smirked at me.,William嘲弄地对我笑了笑。,22,16
???,\,3,1
"I can't recognize the voice, but it sounds like it belongs to a woman.",我听不出那是谁的声音，但应该是个女人。,70,19
All of the confidence and energy in his voice seems to leave him.,他话音中的自信与活力消失得无影无踪。,65,18
"The coyote sighs, and I can tell he's lost his patience.",郊狼叹了口气，我知道他已经不耐烦了。,56,18
Then how come he hasn't come to see me yet?,那他怎么还没来找我？,43,10
He slams the door in our faces.,他当着我们的面摔上了门。,31,12
I hear Murdoch tsk.,我听到了Murdoch发出的啧啧声。,19,18
Murdoch's lips pursed.,Murdoch撮起嘴唇。,22,12
He made spinning gestures with his paws in the air.,他用爪子在空中挥了一圈。,51,12
"I wait for him to press me on that, but for some reason, he never does.",我等待着他逼我说出口，但不知为何，他一次也没有。,71,24
It unsettles me to be in a store like this at night.,大半夜待在这样的店里令我很是不安。,52,17
"Where there should be people, there's just empty space.",本该人来人往的地方变得空空如也。,55,16
"Food sits neatly on a rack, not to be touched, like it's a prop in a museum, or a model in a doll house.",不允许触摸的食物整齐地摆放在货架上，就像博物馆里的道具，又像娃娃屋里的模型。,104,38
I get the same kind of feeling that I get when walking through an empty church on a day with no service.,在没有礼拜的日子穿过一座空荡荡的教堂时，我也会有同样的感觉。,104,30
That lingering feeling of trespass.,一种挥之不去的入侵感。,35,11
"Murdoch walks to the corner of the store where the photography work is displayed and plucks something from a stand, then puts it in his pocket.",Murdoch走到商店一角，陈列着摄影作品的地方，从架子上拿起什么东西装进口袋。,143,40
He comes back to the front of the store and knocks on the door of the pharmacy.,他回到店前面，敲了敲药房的门。,79,15
"The rat swung open the door, takes off goggles, then immediately stops in front of me.",那只老鼠推开门，摘下护目镜，紧接着停在了我面前。,86,24
The rat sighed and rubbed the back of his neck with his paw.,老鼠揉了揉脖子后面，叹了口气。,60,15
He gestures at me.,他朝我比了个手势。,18,9
Ralph looks Murdoch in the eye.,Ralph直视着Murdoch的眼睛。,31,19
He plucked a photograph from his pocket and slapped the side of it with his knuckles.,他从口袋里掏出一张照片，用指节从侧面敲了敲。,85,22
Ralph flinches.,Ralph愣了下。,15,9
Then he starts stammering.,然后结巴了起来。,26,8
He plucks a cigar and a small lighter from his coat pocket and lights it.,他从上衣口袋掏出一个小打火机，点燃了一支雪茄。,73,23
The rat blew a quick puff of smoke over his shoulder.,老鼠扭头吐出一口烟。,53,10
"He brushes shoulders with both of us as he passes, stepping out the front door.",他与我们擦肩而过，从正门走了出去。,79,17
Murdoch hops up to sit on the counter and places his hands on his knees.,Murdoch一跃坐上柜台，双手放在膝盖处。,72,22
He looks at me and lets his words hang in the air.,他话说到一半，注视着我。,50,12
I want to ask him what he means when Ralph bursts in through the front door.,我刚想要问他什么意思，Ralph从正门闯了进来。,76,24
Rummaging noises follow the rat as he disappears once again into the pharmacy.,老鼠再次消失在了药房里，随之而来的是翻箱倒柜的声音。,78,26
I cross my arms and lean against a support column.,我抱起双臂，靠在支柱上。,50,12
I bristle.,我有些恼怒。,10,6
"He slips off of the counter, steps up to me and looks in my face.",他从柜台上滑下来，走到我面前，看着我的脸。,65,21
He's so close that our chests touch.,距离近到我们胸口相抵。,36,11
"The last time I went out at night when somebody asked me to, I nearly died.",上一次有人叫我夜里出去的时候，我差点死在那里。,75,23
The fox rolled his eyes.,狐狸翻了个白眼。,24,8
He scowls and then walks over to the counter in front of the pharmacy.,他皱着眉头，走到药房与柜台之间。,70,16
"I hear a drawer open, and a soft ripping sound.",我听到了抽屉被打开的声音，以及轻轻的撕扯声。,47,22
A hiss comes from out of my mouth.,我嘶嘶地说道：,34,7
I start to dictate aloud as I write.,我开始一边写，一边大声口述。,36,14
I speak a little louder as I erase.,我一边擦，一边用略大的声音说道：,35,16
"The rat was already on the opposite side of me, breathing down my neck.",那只老鼠已经出现在了我的对面，呼吸顺着我的脖子流了下来。,71,28
I leave the note face up on the desk.,我把字条正面朝上放在了桌子上。,37,15
Ralph carries the supplies while Murdoch locks the door behind me.,Ralph提着东西，Murdoch在我身后锁上了门。,66,26
He's right.,他是对的。,11,5
"Light's coming from plenty of houses, late into the night, making it easy enough to see in the dim lights of the alleyways.",大量房屋射出来的灯光虽然昏暗，但足够照亮夜路了。,123,24
Gravel and dirt crunch beneath our feet as we breathe in dry air.,我们呼吸着干燥的空气，脚下的沙砾与泥土嘎吱作响。,65,24
"As we follow the road for a while, the houses get sparser and the stars above get brighter.",我们沿着这条路走了一段时间，房子变得越来越稀疏，天上的星星也明亮起来。,91,35
I clear my throat.,我清了清嗓子。,18,7
Ralph ignores me and keeps on walking.,Ralph无视了我，继续往前走去。,38,17
Murdoch breaks the silence.,Murdoch打破了沉默。,27,13
Ralph let out a laugh.,Ralph笑了出来。,22,10
Murdoch hemmed.,Murdoch哼了一声。,15,12
"I hear Ralph stop ahead of me, then see him crouch down.",我听到Ralph在前方停下来，然后看到他蹲了下去。,56,25
He fumbles for the lighter in his pocket.,他在口袋里摸索着打火机。,41,12
"It takes him a few moments to light the oil lantern, but the sudden brightness tells on his success.",他花了好一会儿才点亮油灯，不过突如其来的光亮说明他成功了。,100,29
We're close enough to the waterfront to hear the shoreline.,我们离滨水区很近，可以听到湖岸线的声音。,59,20
I look around me and see lots of lights in the distance near the water.,我环顾四周，看到远处靠近水面的地方有不少亮光。,71,23
"When we get to where the lake meets the face of the rock and goes between it, we start to see more pine trees, shrubs and ferns.",我们抵达了湖泊与岩石的交界处，松树、灌木和蕨类植物变得越发茂密。,128,32
"It's harder to walk here, but there's a narrow strip of land against one of the cliffs and the water that lets us keep walking.",这里更难走了，幸好还有一条夹在悬崖与水面之间的窄道可供前行。,127,30
"On the other side, the lake opens up again, and there's more arches, more jagged rock formations.",到了另一侧，湖面重新开阔起来，这里有更多的天然拱门和锯齿状岩层。,97,32
We keep walking until we come upon a large boulder in the sand beneath a shallow cave.,我们继续往前走去，直至在一个浅洞下方的沙地上遇到一块大石头。,86,30
The rat jerked his head at the fox.,老鼠猛地看向狐狸。,35,9
"Murdoch digs through his pants pocket, slips out a photograph and hands it to me.",Murdoch从裤子口袋掏出一张照片递了过来。,81,23
But he's there. Staring back with his dead eyes that won't close.,但是他就在那里，用死不瞑目的眼睛盯着我。,65,20
I take another look at the damn piece of paper.,我又看了眼那张该死的纸。,47,12
I feel my brow scrunch.,我皱起眉头。,23,6
"I stand up, ready to leave.",我起身准备离开。,27,8
Huh.,哈。,4,2
The fox tried to fake a light laugh.,狐狸装出轻笑的样子。,36,10
The rat is lighting something again.,老鼠又点燃了什么东西。,36,11
"I don't know what's in those cigars anymore, but it's probably not tobacco.",我不知道那雪茄里有什么，但多半不是烟草。,75,20
The scent is off.,气味不对。,17,5
"He looks at me, still puffing on the funny smelling cigar.",他看向我，嘴里还抽着那支怪味雪茄。,58,17
His eyes look a bit red.,他的眼睛看起来有点红。,24,11
Ralph whistles.,Ralph吹了声口哨。,15,11
"Murdoch glares at the rat, but he rolls his eyes.",Murdoch瞪着老鼠，而后者只是翻了个白眼。,49,23
Murdoch shrugged his shoulders.,Murdoch耸了耸肩。,31,12
The rat looks flushed and mutters something under his breath.,那只老鼠脸红了，小声咕哝着什么。,61,16
For the first time I hear a snarl come from Murdoch.,这是我第一次听Murdoch在低吼。,52,18
"It only lasts a second, but his lips are curled back, and I see a flicker of genuine fear in Ralph's eyes.",只持续了一秒钟，但他的嘴唇向后咧了起来，我看到Ralph眼中闪过一丝真正的恐惧。,106,40
But then the fear turns to guilt.,恐惧随即化为了内疚。,33,10
Murdoch hands out his paw.,Murdoch伸出一只爪子。,26,14
He beckons with it.,然后招了招。,19,6
Ralph stares at him for a moment.,Ralph盯着他看了好一会。,33,14
"Then he rifles through his coat, plucks out a small, green tablet, and hands it over.",然后在大衣里翻了翻，掏出一粒绿色的药递了过去。,85,23
Murdoch takes it.,Murdoch将药服下。,17,12
I sigh and take a look at the photograph again.,我叹了口气，又看向照片。,47,12
"The monster is still there, clearer than ever.",怪物还在那里，比以往任何时候都要清晰。,46,19
So I rub my chin and give the rat a signal with my hand.,于是我摸了摸下巴，朝老鼠打了个手势。,56,18
I can feel my ear flick with agitation.,我能感到我的耳朵在激动地轻弹。,39,15
Ralph pulls the cigar out of his mouth.,Ralph从嘴里抽出雪茄。,39,13
He holds the cigar out to me.,他把雪茄递给了我。,29,9
I notice now that Ralph and Murdoch's behaviors have changed.,我现在注意到Ralph和Murdoch的行为方式已经改变了。,61,30
Their voices are deeper.,他们的声音更加低沉。,24,10
More solemn.,更为严肃。,12,5
But they also don't seem as formal or uptight.,但没有显得多么拘谨。,46,10
Ralph look all around him and lifts his head to the rock ceiling.,Ralph看了圈四周，然后抬头望向岩顶。,65,20
The wind picks up.,起风了。,18,4
The rat and the fox exchange a wary glance with one another and then look back to me.,老鼠和狐狸小心交换了一下眼神，然后回头看了过来。,85,24
"I see him scrunch his legs close to his chest, then wrap his arm around his legs.",我看着他把腿蜷在胸前，然后用胳膊搂在上面。,81,21
Ralph sighs.,Ralph叹了口气。,12,10
He shuts his eyes and squeezes a few tears out.,他闭上双眼，挤出了几滴眼泪。,47,14
His tail wags and he chuckles.,他摇着尾巴，轻声笑了。,30,11
I didn't mean that as a compliment.,我没有恭维他的意思。,35,10
My lips are dry.,我的嘴唇很干。,16,7
I swallow before speaking up.,我咽了口唾沫，然后说道：,29,12
I jerk my head towards Murdoch.,我把头猛地转向Murdoch。,31,15
I lay it out quietly.,我轻轻说出了口。,21,8
The wind gets just a little bit louder.,风声隐约大了一些。,39,9
All of us look to the entrance of the cave.,我们一并朝洞穴入口看去。,43,12
"Across from the opening of the rocks, there's signs of movement across the water.",岩石另一侧的开口处有蹚水的动静。,81,16
I can hear a strained squealing sound like wheels on a cart.,我能够听到不自然的尖声，像是手推车的轮子。,60,21
Then they come to a stop.,然后声音停下了。,25,8
We can make out a figure in the distance covered in heavy layering.,远处依稀可见层层叠叠的人影。,67,14
"It's hard enough to see them in the dark as it is, but the face is obscured by what might be cloth wrappings or bandages.",要在黑暗中看清已经很困难了，更别提他的脸部还缠着类似布条，或是绷带的物体。,121,37
Grunting and growling rings out into the night as the figure wrestles with something in the cart.,伴随着响彻夜幕的低吼声和咕哝声，人影开始费力搬动手推车上的什么东西。,97,34
Something that looks like an extra large potato sack.,看起来像一个巨大无比的土豆袋。,53,15
It falls onto the ground.,那东西落在了地上。,25,9
Murdoch lowers his voice to a whisper.,Murdoch极力压低声音说道：,38,16
I hold Murdoch's forearm as he begins to stand up.,我抓住了正想起身的Murdoch的前臂。,50,20
"He gives me a confused look, then worry spreads through his face.",他不解地看了我一眼，担忧的神情逐渐在脸上蔓延。,65,23
"I can tell that he's reminded of how much stronger I am than he is right now, so he stops trying to stand, and squats back down.",看得出来这令他想起了我比他强壮得多，于是他放弃尝试，又蹲了下来。,128,32
"The figure pauses for some time, as if looking around, before shuffling over to the wall of one of the canyons.",那个身影停了一会儿，像是在四处张望，然后拖着脚走向峡谷的其中一面岩壁。,111,35
"It takes us a while to realize that they're picking up small rocks, and sorting them into little piles.",我们花了段时间才意识到他在捡小石头，并把它们分类成堆。,103,27
"And then, the sack itself starts to move.",然后，那个麻袋自己动了起来。,41,14
The fox is silenced by the figure holding one of the larger rocks over its head.,看到那个人影将一块较大的石头举过头顶，狐狸沉默了。,80,25
Then they bring it down.,随后石头落了下去。,24,9
"A muffled cry is cut short, and it turns into a horrible wet noise.",模糊的哭泣声被切断，变成了可怖的水声。,67,19
Then there's nothing.,之后一切都安静了。,21,9
None of us can say anything.,我们谁也说不出话来。,28,10
Whoever it is hobbles over to one of the rock piles and starts stuffing the sacks with pebbles.,那个不明身份的家伙一瘸一拐地走到其中一个石碓旁，开始往袋子里塞鹅卵石。,95,35
It's close enough for us to hear the clattering.,在这个距离下，硬物的碰撞声不绝于耳。,48,18
Then the splash soon after the re-tied sack tumbles down the rocks and into the water.,然后，重新被系好的袋子顺着岩石滚进了湖中，水花四溅。,86,26
"We all feel the air move across our backs as the cave behind us wails, and Ralph's expression changes from consternation into fear.",气流从我们背部擦过，身后的洞穴也随之发出了哀号，Ralph的表情从惊愕转化为了恐惧。,131,42
"As if on cue, the disguised figure raises their head to sniff the air.",仿佛得到了暗示一般，那个伪装的身影抬头嗅了嗅空气。,70,25
Then they look towards us.,并看向我们。,26,6
And they bolt to the left.,接着从左侧冲了过来。,26,10
The three of us hop to our feet and book it out of the cave.,我们三个一跃而起，马不停蹄地跑出了洞穴。,60,20
I can feel the stinging sensation build up in my legs as we keep going.,随着不断的奔跑，刺痛感正逐渐在我的双腿上累积。,71,23
"We get to the front of the tunnel which leads back to the crowded part of the beach, but I do a double take and then stop based on what I'm seeing.",我们抵达了隧道的开头部分，不远处就是湖滨的拥挤地带，然而我在突然意识到自己看见了什么之后停了下来。,147,49
"Two girls dressed in white dresses are sitting on the rocks, staring at me.",两个身着白色连衣裙的女孩正坐在岩石上，凝视着我。,75,24
"I keep up the jog, but I can't help but look back when I pass them.",我慢跑跟上，但经过她们身边时忍不住回头看了一眼。,67,24
They're gone.,她们不见了。,13,6
I stop and listen.,我停下脚步，聆听着。,18,10
There's definitely a muffled sneeze coming from behind a rock.,岩石后面绝对传来了模糊的咳嗽声。,62,16
But I pounce and I grab whoever's there.,我猛扑过去，逮住了那个家伙。,40,14
A high-pitched scream pierces my ears.,一声高昂的尖叫差点刺穿我的耳朵。,38,16
When I let her go I have to dodge the swipe she makes at my face.,松手的同时，我不得不躲开她的迎面一拳。,65,19
She pulls out a switchblade.,她掏出一把弹簧刀。,28,9
I hate kids.,我讨厌孩子。,12,6
Ralph groans.,Ralph哼了声。,13,9
She spit on him.,她朝Ralph吐了口口水。,16,13
Ralph made a motion towards her.,Ralph朝她比了个手势。,32,13
The cat takes a look at me as if she's remembering.,那只猫看了我一眼，像是回忆起了什么。,51,18
...What did she mean by that?,...这话是什么意思？,29,11
We turned to see where Ralph pointed.,我们转头看向Ralph所指的方向。,37,17
By now the black cat has already scaled half the cliffside.,此时，那只黑猫已经爬上悬崖的一半了。,59,18
"I feel a little better once we're past the canyon tunnel and by the more crowded parts of the lake, running past each crowd.",我们穿过峡谷隧道，到了相对比较热闹的湖边，从人群中跑过，我总算感觉好了一些。,124,38
"Some of them gasp, or shout at us, asking us who we are.",他们中的一些人或是惊讶、或是大喊，问我们是谁。,56,23
We're gone before we can answer.,我们来不及回答便离开了。,32,12
We keep running even when we make it to the road.,即便到了路上，我们依然没有停止奔跑。,49,18
And we still keep running even when we're back in town.,即便到了镇上也没有。,55,10
I slam the door as Murdoch and Ralph deal with multiple locks.,我砰地一声关上门，把多道锁留给Murdoch和Ralph处理。,62,31
"The three of us catch our breath in the doorway, heaving.",我们三个呆立在门口，气喘吁吁。,57,15
Ralph folds back the curtains of his window and takes a look.,Ralph拉开窗帘往外面看了看。,61,16
He sighs with relief.,他如释重负地松了口气。,21,11
"Now that we're inside, and nobody's following us, it suddenly feels a lot harder to be scared.",在身居室内，也没有被人跟踪的现在，恐惧突然成为了一种奢侈。,94,29
So I start to laugh.,于是我笑了起来。,20,8
"It's stupid, really.",真是蠢透了。,20,6
So I crack up again.,于是我又大笑了起来。,20,10
Murdoch tugs on my sleeve.,Murdoch拽了拽我的衣袖。,26,15
"I pull it out of my pocket again, surprised that it's still not wrinkled.",我又把照片从口袋里掏了出来，惊讶地发现居然还没皱。,73,25
I put the damn thing down and tap my fingers on the counter.,我放下那倒霉玩意，用手指轻轻敲着柜台。,60,19
There was a pause in the air.,空气安静了下来。,29,8
I hear Ralph filling up a pan with water from his kitchen.,我听见厨房里的Ralph正在往锅里加水。,58,20
I think hard for a second.,我认真想了一下。,26,8
"I don't know if it's because I'm in a good mood, or if the whiplash of being terrified for my life is causing the sudden surge of longing that I have.",我不知道是因为自己兴致高昂，还是对性命的担忧令我突然产生了强烈的渴望。,150,35
But I need to know if they're right about this.,但我得先知道他们想不想。,47,12
Ralph and Murdoch put on uneasy looks as they look at one another.,Ralph和Murdoch摆出一副不确定的表情，面面相觑。,66,29
The rat's tone was stern.,老鼠的语气很是严肃。,25,10
"There's a tinge of what sounds like frustration in his voice, but I don't have the spoons to be sensitive right now.",他的声音似乎掺了几分沮丧，但我现在没时间善解人意。 ,116,26
I want this evil out of me.,我想要摆脱那个邪魔。,27,10
"So tug on Murdoch's sleeve, and he gives me a sly kind of smile.",于是我抓住Murdoch的衣袖，他回以一抹狡诈的笑容。,64,27
I'm surprised to see two beds in the room.,我惊讶地发现房间里有两张床。,42,14
I smile at Murdoch.,我对Murdoch露出笑颜。,19,14
I unhook my suspenders and take off my shirt.,我解开吊带，脱下衬衫。,45,11
"I slide my paw down my chest, watching him.",我凝视着他，把爪子滑到胸膛上。,43,15
I know that his attention is mine when his eyes get glassy and his adam's apple bobs from swallowing his own spit.,呆滞的目光和抖动的喉结告诉我，他的魂已经被我勾走了。,114,26
My hand slides lower over my trousers and I squeeze my groin.,我将手沿长裤滑下，挤捏着自己的大腿根。,61,19
I unbuckle my belt and unzip my trousers.,我解开皮带，拉下裤链。,41,11
Ralph's gruff voice mumbles from the other side of the walls.,Ralph冷淡的嘟哝声从墙壁另一边传了过来。,61,22
I laugh.,我笑了出声。,8,6
He's hard now.,他已经硬了。,14,6
"His eyes flick from me, then to his pants, as if embarrassed to see that we're not entirely alone this time.",他的目光霎得从我身上移开，瞄向自己的裤子，像是在为这次还有别人在而感到尴尬。,108,38
"I say slowly, carefully, as I grip myself through my pants.",我一字一字地说道，同时透过裤子握住了自己的那根。,59,24
Murdoch comes closer until the tip of his nose is touching mine.,Murdoch靠近过来，直至我们的鼻尖相触。,64,22
He doesn't just smell like fear anymore.,他闻起来不再只有恐惧的味道了。,40,15
"I roll my head on my shoulders, laughing at him, watching him with my eyelids half closed, then I push my tongue into his mouth.",我歪着头，眼睛半闭，嘲弄地看着他，然后把舌头伸进了他的嘴里。,128,30
"He yips, thrusting with his hips as I pull off his tie, vest and shirt.",他支吾地摆着臀，任我脱下他的领带、背心和衬衫。,71,23
"As I unbutton his trousers and slip my hand down his pants, I can already feel that he's wet and slippery, and his sharp scent lingers on my paw.",我解开他的裤扣，把手探了进去，里面已经是一片湿滑了，刺鼻的气味在我的爪子上挥之不去。,145,42
"I loosen his belt too, pull his pants down, and watch his erection spring free.",我将他的皮带也松开，拽下他的裤子，看着他的勃起挣脱了束缚。,79,29
"I lock eyes with him as I take his thick cock into my muzzle, swallowing as much as I can.",我直视着他的双眼，把他粗壮的老二含在嘴里，尽可能吞了下去。,90,29
His breath gets raspy as he sinks down into the mattress.,他呼吸急促地沉进了床垫中。,57,13
"I hold my breath and hum, then slide off, swallowing the fresh burst of pre that jolts down my throat.",我屏住呼吸，低吟着继续深入，将在喉咙里喷发的雄汁悉数饮下。,102,29
Ralph is still fumbling with god knows what in the kitchen.,Ralph还在厨房里搞着不知道什么的玩意。,59,21
Murdoch swallows his own spit as he looks at the wall.,Murdoch看着那堵墙，咽了口吐沫。,54,19
I wipe my mouth and feel myself smirk.,我擦了擦嘴，感到自己得意地笑了。,38,16
Then I stand up.,然后我站起身。,16,7
I fish my cock out of my pants which is throbbing from the heat.,我从裤子里掏出自己滚烫，尚在勃动的老二。,64,20
 The excitement.,刺激。,16,3
The anticipation.,期待。,17,3
"He sniffs it, gives me a small lick, then dips in to suck on it.",他先是闻了闻，然后舔了一小口，接着沉浸在其中。,64,23
"There's something snug about tight, narrow muzzles going down on you.",紧而窄的吻部给下面带来了被包覆的感觉。,69,19
"I pet the warm fluff on his head, then wrap my paws around his long ears, squeezing.",我轻抚他头顶温暖的绒毛，用爪子把玩着他的长耳朵。,84,24
I push deeper into Murdoch's throat.,我朝着Murdoch的喉咙更深处冲刺。,36,19
"I push the fox off of my dick, grab my cock and shake it.",我从狐狸嘴里抽出老二，撸动起来。,57,16
"Murdoch hinges his knees, eyes still locked on me.",Murdoch合拢膝盖，眼睛仍然锁定在我身上。,50,23
"Murdoch noses my balls, blows warm breath on them, and makes an obscene slurping noise around my dick, eyes lighting up with mischief.",Murdoch嗅着我的卵蛋，给上面带来了一股温热的气息，然后在我的鸡巴附近发出淫荡的啧啧声，一闪一闪的眼睛满是顽皮。,134,58
Murdoch turns his neck and dips down.,Murdoch转过脖子，俯下头。,37,16
I feel one side of my cock slip into his cheek while the other side scrapes against a canine tooth.,我感觉到老二一侧滑进了他的脸颊，另一侧则与一颗犬齿擦肩而过。,99,30
His cheek is surprisingly stretchy.,他的脸颊出奇的有弹性。,35,11
